Week,buscas
2010-01-03,17
2010-01-10,39
2010-01-17,0
2010-01-24,32
2010-01-31,23
2010-02-07,0
2010-02-14,0
2010-02-21,64
2010-02-28,48
2010-03-07,0
2010-03-14,0
2010-03-21,35
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,67
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,27
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,100
2010-09-19,0
2010-09-26,57
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,22
2010-10-31,20
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,19
2010-12-12,0
2010-12-19,53
2010-12-26,0
2011-01-02,13
2011-01-09,51
2011-01-16,34
2011-01-23,71
2011-01-30,26
2011-02-06,25
2011-02-13,71
2011-02-20,62
2011-02-27,83
2011-03-06,51
2011-03-13,87
2011-03-20,100
2011-03-27,81
2011-04-03,73
2011-04-10,95
2011-04-17,73
2011-04-24,52
2011-05-01,51
2011-05-08,56
2011-05-15,64
2011-05-22,46
2011-05-29,30
2011-06-05,26
2011-06-12,94
2011-06-19,42
2011-06-26,0
2011-07-03,28
2011-07-10,0
2011-07-17,24
2011-07-24,0
2011-07-31,44
2011-08-07,18
2011-08-14,24
2011-08-21,29
2011-08-28,22
2011-09-04,12
2011-09-11,26
2011-09-18,20
2011-09-25,14
2011-10-02,40
2011-10-09,24
2011-10-16,18
2011-10-23,0
2011-10-30,0
2011-11-06,20
2011-11-13,25
2011-11-20,36
2011-11-27,0
2011-12-04,23
2011-12-11,0
2011-12-18,0
2011-12-25,16
2012-01-01,31
2012-01-08,54
2012-01-15,17
2012-01-22,0
2012-01-29,31
2012-02-05,37
2012-02-12,56
2012-02-19,0
2012-02-26,25
2012-03-04,44
2012-03-11,68
2012-03-18,77
2012-03-25,20
2012-04-01,54
2012-04-08,52
2012-04-15,77
2012-04-22,77
2012-04-29,74
2012-05-06,96
2012-05-13,89
2012-05-20,100
2012-05-27,42
2012-06-03,41
2012-06-10,29
2012-06-17,31
2012-06-24,25
2012-07-01,24
2012-07-08,0
2012-07-15,0
2012-07-22,21
2012-07-29,19
2012-08-05,0
2012-08-12,77
2012-08-19,48
2012-08-26,38
2012-09-02,47
2012-09-09,0
2012-09-16,0
2012-09-23,33
2012-09-30,0
2012-10-07,0
2012-10-14,16
2012-10-21,40
2012-10-28,38
2012-11-04,15
2012-11-11,22
2012-11-18,22
2012-11-25,0
2012-12-02,18
2012-12-09,24
2012-12-16,72
2012-12-23,0
2012-12-30,0
2013-01-06,23
2013-01-13,24
2013-01-20,0
2013-01-27,49
2013-02-03,24
2013-02-10,35
2013-02-17,56
2013-02-24,58
2013-03-03,33
2013-03-10,36
2013-03-17,72
2013-03-24,55
2013-03-31,39
2013-04-07,58
2013-04-14,100
2013-04-21,63
2013-04-28,31
2013-05-05,44
2013-05-12,48
2013-05-19,61
2013-05-26,47
2013-06-02,54
2013-06-09,57
2013-06-16,17
2013-06-23,42
2013-06-30,0
2013-07-07,15
2013-07-14,22
2013-07-21,15
2013-07-28,28
2013-08-04,0
2013-08-11,14
2013-08-18,40
2013-08-25,36
2013-09-01,23
2013-09-08,0
2013-09-15,22
2013-09-22,12
2013-09-29,22
2013-10-06,0
2013-10-13,30
2013-10-20,17
2013-10-27,30
2013-11-03,14
2013-11-10,0
2013-11-17,50
2013-11-24,23
2013-12-01,14
2013-12-08,33
2013-12-15,0
2013-12-22,47
2013-12-29,16
2014-01-05,42
2014-01-12,28
2014-01-19,28
2014-01-26,40
2014-02-02,0
2014-02-09,10
2014-02-16,36
2014-02-23,32
