Week,buscas
2010-01-03,26
2010-01-10,25
2010-01-17,37
2010-01-24,46
2010-01-31,53
2010-02-07,40
2010-02-14,54
2010-02-21,74
2010-02-28,100
2010-03-07,93
2010-03-14,87
2010-03-21,63
2010-03-28,35
2010-04-04,71
2010-04-11,53
2010-04-18,45
2010-04-25,38
2010-05-02,50
2010-05-09,45
2010-05-16,46
2010-05-23,43
2010-05-30,34
2010-06-06,26
2010-06-13,18
2010-06-20,20
2010-06-27,10
2010-07-04,10
2010-07-11,7
2010-07-18,9
2010-07-25,12
2010-08-01,14
2010-08-08,12
2010-08-15,13
2010-08-22,5
2010-08-29,4
2010-09-05,3
2010-09-12,9
2010-09-19,15
2010-09-26,11
2010-10-03,14
2010-10-10,14
2010-10-17,19
2010-10-24,18
2010-10-31,23
2010-11-07,22
2010-11-14,21
2010-11-21,24
2010-11-28,15
2010-12-05,19
2010-12-12,11
2010-12-19,4
2010-12-26,16
2011-01-02,25
2011-01-09,39
2011-01-16,48
2011-01-23,49
2011-01-30,61
2011-02-06,62
2011-02-13,62
2011-02-20,81
2011-02-27,67
2011-03-06,52
2011-03-13,68
2011-03-20,85
2011-03-27,100
2011-04-03,87
2011-04-10,79
2011-04-17,69
2011-04-24,63
2011-05-01,62
2011-05-08,60
2011-05-15,51
2011-05-22,33
2011-05-29,44
2011-06-05,28
2011-06-12,27
2011-06-19,33
2011-06-26,27
2011-07-03,24
2011-07-10,14
2011-07-17,24
2011-07-24,29
2011-07-31,19
2011-08-07,24
2011-08-14,18
2011-08-21,29
2011-08-28,26
2011-09-04,22
2011-09-11,32
2011-09-18,35
2011-09-25,30
2011-10-02,22
2011-10-09,30
2011-10-16,43
2011-10-23,42
2011-10-30,52
2011-11-06,45
2011-11-13,51
2011-11-20,57
2011-11-27,41
2011-12-04,45
2011-12-11,36
2011-12-18,25
2011-12-25,29
2012-01-01,65
2012-01-08,68
2012-01-15,61
2012-01-22,64
2012-01-29,89
2012-02-05,76
2012-02-12,61
2012-02-19,79
2012-02-26,100
2012-03-04,77
2012-03-11,72
2012-03-18,91
2012-03-25,90
2012-04-01,59
2012-04-08,82
2012-04-15,89
2012-04-22,68
2012-04-29,89
2012-05-06,79
2012-05-13,78
2012-05-20,80
2012-05-27,84
2012-06-03,64
2012-06-10,68
2012-06-17,59
2012-06-24,53
2012-07-01,26
2012-07-08,27
2012-07-15,21
2012-07-22,34
2012-07-29,43
2012-08-05,42
2012-08-12,24
2012-08-19,43
2012-08-26,35
2012-09-02,33
2012-09-09,42
2012-09-16,41
2012-09-23,53
2012-09-30,37
2012-10-07,32
2012-10-14,41
2012-10-21,49
2012-10-28,47
2012-11-04,43
2012-11-11,53
2012-11-18,56
2012-11-25,46
2012-12-02,52
2012-12-09,45
2012-12-16,41
2012-12-23,40
2012-12-30,23
2013-01-06,41
2013-01-13,38
2013-01-20,46
2013-01-27,54
2013-02-03,64
2013-02-10,66
2013-02-17,77
2013-02-24,85
2013-03-03,73
2013-03-10,76
2013-03-17,70
2013-03-24,67
2013-03-31,90
2013-04-07,100
2013-04-14,95
2013-04-21,70
2013-04-28,68
2013-05-05,63
2013-05-12,64
2013-05-19,60
2013-05-26,44
2013-06-02,40
2013-06-09,36
2013-06-16,36
2013-06-23,30
2013-06-30,18
2013-07-07,16
2013-07-14,15
2013-07-21,15
2013-07-28,13
2013-08-04,14
2013-08-11,14
2013-08-18,21
2013-08-25,14
2013-09-01,17
2013-09-08,13
2013-09-15,20
2013-09-22,19
2013-09-29,22
2013-10-06,20
2013-10-13,15
2013-10-20,23
2013-10-27,20
2013-11-03,26
2013-11-10,25
2013-11-17,33
2013-11-24,23
2013-12-01,24
2013-12-08,26
2013-12-15,21
2013-12-22,20
2013-12-29,37
2014-01-05,48
2014-01-12,44
2014-01-19,47
2014-01-26,64
2014-02-02,48
2014-02-09,60
2014-02-16,58
2014-02-23,65
2014-03-02,42
2014-03-09,80
2014-03-16,89
2014-03-23,98
2014-03-30,99
2014-04-06,88
2014-04-13,85
2014-04-20,91
2014-04-27,98
2014-05-04,96
2014-05-11,100
2014-05-18,88
2014-05-25,82
2014-06-01,69
2014-06-08,59
2014-06-15,44
2014-06-22,51
2014-06-29,32
2014-07-06,27
2014-07-13,32
2014-07-20,33
2014-07-27,25
2014-08-03,25
2014-08-10,37
2014-08-17,34
2014-08-24,27
2014-08-31,29
2014-09-07,36
2014-09-14,25
2014-09-21,29
2014-09-28,34
2014-10-05,28
2014-10-12,32
2014-10-19,28
2014-10-26,32
2014-11-02,40
2014-11-09,46
2014-11-16,28
2014-11-23,37
2014-11-30,41
2014-12-07,35
2014-12-14,39
2014-12-21,51
2014-12-28,29
2015-01-04,13
2015-01-11,13
2015-01-18,21
