Week,buscas
2010-01-03,16
2010-01-10,17
2010-01-17,31
2010-01-24,24
2010-01-31,31
2010-02-07,39
2010-02-14,20
2010-02-21,70
2010-02-28,69
2010-03-07,99
2010-03-14,97
2010-03-21,99
2010-03-28,70
2010-04-04,100
2010-04-11,76
2010-04-18,77
2010-04-25,65
2010-05-02,49
2010-05-09,60
2010-05-16,64
2010-05-23,38
2010-05-30,34
2010-06-06,25
2010-06-13,34
2010-06-20,17
2010-06-27,17
2010-07-04,18
2010-07-11,14
2010-07-18,15
2010-07-25,0
2010-08-01,19
2010-08-08,19
2010-08-15,12
2010-08-22,14
2010-08-29,15
2010-09-05,15
2010-09-12,23
2010-09-19,13
2010-09-26,14
2010-10-03,14
2010-10-10,12
2010-10-17,16
2010-10-24,19
2010-10-31,17
2010-11-07,6
2010-11-14,28
2010-11-21,29
2010-11-28,26
2010-12-05,16
2010-12-12,23
2010-12-19,18
2010-12-26,14
2011-01-02,25
2011-01-09,26
2011-01-16,30
2011-01-23,31
2011-01-30,26
2011-02-06,42
2011-02-13,50
2011-02-20,59
2011-02-27,50
2011-03-06,47
2011-03-13,79
2011-03-20,100
2011-03-27,91
2011-04-03,92
2011-04-10,72
2011-04-17,42
2011-04-24,55
2011-05-01,39
2011-05-08,38
2011-05-15,42
2011-05-22,37
2011-05-29,37
2011-06-05,25
2011-06-12,28
2011-06-19,25
2011-06-26,30
2011-07-03,22
2011-07-10,16
2011-07-17,19
2011-07-24,16
2011-07-31,17
2011-08-07,23
2011-08-14,21
2011-08-21,21
2011-08-28,19
2011-09-04,23
2011-09-11,22
2011-09-18,23
2011-09-25,20
2011-10-02,14
2011-10-09,19
2011-10-16,26
2011-10-23,23
2011-10-30,27
2011-11-06,28
2011-11-13,22
2011-11-20,29
2011-11-27,25
2011-12-04,25
2011-12-11,22
2011-12-18,22
2011-12-25,27
2012-01-01,64
2012-01-08,66
2012-01-15,58
2012-01-22,64
2012-01-29,49
2012-02-05,59
2012-02-12,80
2012-02-19,56
2012-02-26,74
2012-03-04,100
2012-03-11,88
2012-03-18,97
2012-03-25,96
2012-04-01,83
2012-04-08,88
2012-04-15,76
2012-04-22,86
2012-04-29,73
2012-05-06,68
2012-05-13,79
2012-05-20,88
2012-05-27,66
2012-06-03,75
2012-06-10,55
2012-06-17,71
2012-06-24,62
2012-07-01,49
2012-07-08,50
2012-07-15,24
2012-07-22,33
2012-07-29,29
2012-08-05,40
2012-08-12,29
2012-08-19,45
2012-08-26,33
2012-09-02,35
2012-09-09,37
2012-09-16,52
2012-09-23,38
2012-09-30,35
2012-10-07,25
2012-10-14,40
2012-10-21,48
2012-10-28,39
2012-11-04,49
2012-11-11,45
2012-11-18,54
2012-11-25,46
2012-12-02,41
2012-12-09,32
2012-12-16,38
2012-12-23,42
2012-12-30,8
2013-01-06,9
2013-01-13,12
2013-01-20,12
2013-01-27,13
2013-02-03,14
2013-02-10,15
2013-02-17,21
2013-02-24,29
2013-03-03,30
2013-03-10,39
2013-03-17,46
2013-03-24,47
2013-03-31,60
2013-04-07,100
2013-04-14,75
2013-04-21,43
2013-04-28,33
2013-05-05,24
2013-05-12,23
2013-05-19,19
2013-05-26,14
2013-06-02,13
2013-06-09,12
2013-06-16,14
2013-06-23,12
2013-06-30,10
2013-07-07,7
2013-07-14,6
2013-07-21,4
2013-07-28,4
2013-08-04,4
2013-08-11,3
2013-08-18,5
2013-08-25,5
2013-09-01,4
2013-09-08,4
2013-09-15,4
2013-09-22,4
2013-09-29,3
2013-10-06,3
2013-10-13,3
2013-10-20,5
2013-10-27,5
2013-11-03,5
2013-11-10,5
2013-11-17,6
2013-11-24,6
2013-12-01,4
2013-12-08,4
2013-12-15,3
2013-12-22,3
2013-12-29,25
2014-01-05,27
2014-01-12,21
2014-01-19,28
2014-01-26,29
2014-02-02,33
2014-02-09,42
2014-02-16,56
2014-02-23,57
2014-03-02,40
2014-03-09,54
2014-03-16,71
2014-03-23,68
2014-03-30,68
2014-04-06,82
2014-04-13,75
2014-04-20,100
2014-04-27,76
2014-05-04,78
2014-05-11,72
2014-05-18,65
2014-05-25,62
2014-06-01,56
2014-06-08,37
2014-06-15,32
2014-06-22,28
2014-06-29,21
2014-07-06,19
2014-07-13,28
2014-07-20,28
2014-07-27,31
2014-08-03,25
2014-08-10,24
2014-08-17,25
2014-08-24,26
2014-08-31,24
2014-09-07,29
2014-09-14,29
2014-09-21,27
2014-09-28,32
2014-10-05,22
2014-10-12,29
2014-10-19,34
2014-10-26,27
2014-11-02,34
2014-11-09,35
2014-11-16,42
2014-11-23,35
2014-11-30,28
2014-12-07,33
2014-12-14,25
2014-12-21,17
2014-12-28,21
2015-01-04,11
2015-01-11,10
2015-01-18,11
2015-01-25,13
2015-02-01,14
2015-02-08,21
2015-02-15,17
2015-02-22,29
2015-03-01,37
2015-03-08,47
2015-03-15,55
2015-03-22,61
2015-03-29,64
2015-04-05,76
2015-04-12,100
2015-04-19,87
2015-04-26,87
2015-05-03,100
2015-05-10,78
2015-05-17,71
2015-05-24,62
2015-05-31,39
2015-06-07,36
2015-06-14,36
2015-06-21,32
2015-06-28,21
2015-07-05,17
2015-07-12,14
2015-07-19,12
2015-07-26,10
2015-08-02,11
2015-08-09,13
2015-08-16,11
2015-08-23,14
2015-08-30,11
2015-09-06,10
2015-09-13,13
2015-09-20,11
2015-09-27,11
2015-10-04,10
2015-10-11,9
2015-10-18,14
2015-10-25,12
2015-11-01,14
2015-11-08,14
2015-11-15,16
2015-11-22,21
2015-11-29,35
2015-12-06,45
2015-12-13,45
2015-12-20,41
2015-12-27,51
2016-01-03,19
2016-01-10,20
2016-01-17,24
2016-01-24,29
2016-01-31,47
2016-02-07,51
2016-02-14,83
2016-02-21,100
2016-02-28,98
2016-03-06,92
2016-03-13,76
2016-03-20,66
2016-03-27,72
2016-04-03,73
2016-04-10,61
2016-04-17,45
2016-04-24,41
2016-05-01,30
2016-05-08,24
2016-05-15,22
2016-05-22,16
2016-05-29,14
2016-06-05,11
2016-06-12,10
2016-06-19,8
2016-06-26,7
2016-07-03,6
2016-07-10,5
2016-07-17,3
2016-07-24,4
2016-07-31,4
2016-08-07,4
2016-08-14,4
2016-08-21,4
2016-08-28,4
2016-09-04,5
2016-09-11,4
2016-09-18,4
2016-09-25,4
2016-10-02,3
2016-10-09,3
2016-10-16,5
2016-10-23,5
2016-10-30,5
2016-11-06,5
2016-11-13,5
2016-11-20,6
2016-11-27,6
2016-12-04,5
2016-12-11,4
2016-12-18,5
2016-12-25,5
2017-01-01,42
2017-01-08,55
2017-01-15,62
2017-01-22,63
2017-01-29,52
2017-02-05,59
2017-02-12,73
2017-02-19,61
2017-02-26,63
2017-03-05,68
2017-03-12,75
2017-03-19,77
2017-03-26,78
2017-04-02,100
2017-04-09,68
2017-04-16,62
2017-04-23,63
2017-04-30,61
2017-05-07,52
2017-05-14,41
2017-05-21,43
2017-05-28,44
2017-06-04,38
2017-06-11,25
2017-06-18,35
2017-06-25,29
2017-07-02,30
2017-07-09,23
2017-07-16,17
2017-07-23,17
2017-07-30,24
2017-08-06,28
2017-08-13,28
2017-08-20,27
2017-08-27,27
2017-09-03,25
2017-09-10,35
2017-09-17,37
2017-09-24,32
2017-10-01,27
2017-10-08,22
2017-10-15,38
2017-10-22,72
2017-10-29,46
2017-11-05,43
2017-11-12,49
2017-11-19,48
2017-11-26,49
2017-12-03,43
2017-12-10,36
2017-12-17,35
2017-12-24,37
2017-12-31,38
2018-01-07,49
2018-01-14,69
2018-01-21,67
2018-01-28,62
2018-02-04,50
2018-02-11,66
2018-02-18,70
2018-02-25,79
2018-03-04,86
2018-03-11,100
2018-03-18,95
2018-03-25,81
2018-04-01,92
2018-04-08,92
2018-04-15,86
2018-04-22,85
2018-04-29,80
2018-05-06,63
2018-05-13,57
2018-05-20,53
2018-05-27,31
2018-06-03,45
2018-06-10,45
2018-06-17,40
2018-06-24,43
2018-07-01,32
2018-07-08,32
2018-07-15,26
2018-07-22,20
2018-07-29,27
2018-08-05,28
2018-08-12,33
2018-08-19,37
2018-08-26,35
2018-09-02,31
2018-09-09,26
2018-09-16,34
2018-09-23,33
2018-09-30,36
2018-10-07,28
2018-10-14,36
2018-10-21,43
2018-10-28,42
2018-11-04,45
2018-11-11,52
2018-11-18,57
2018-11-25,71
2018-12-02,59
2018-12-09,52
2018-12-16,58
2018-12-23,57
2018-12-30,8
2019-01-06,13
2019-01-13,10
2019-01-20,11
2019-01-27,13
2019-02-03,14
2019-02-10,20
2019-02-17,24
2019-02-24,31
2019-03-03,31
2019-03-10,39
2019-03-17,45
2019-03-24,61
2019-03-31,64
2019-04-07,70
2019-04-14,75
2019-04-21,99
2019-04-28,100
2019-05-05,88
2019-05-12,82
2019-05-19,81
2019-05-26,67
2019-06-02,48
2019-06-09,35
2019-06-16,28
2019-06-23,23
2019-06-30,16
2019-07-07,10
2019-07-14,9
2019-07-21,7
2019-07-28,7
2019-08-04,7
2019-08-11,7
2019-08-18,6
2019-08-25,7
2019-09-01,7
2019-09-08,7
2019-09-15,7
2019-09-22,6
2019-09-29,6
2019-10-06,6
2019-10-13,6
2019-10-20,7
2019-10-27,7
2019-11-03,8
2019-11-10,7
2019-11-17,7
2019-11-24,8
2019-12-01,6
2019-12-08,7
2019-12-15,8
2019-12-22,7
2019-12-29,21
2020-01-05,27
2020-01-12,33
2020-01-19,30
2020-01-26,34
2020-02-02,38
2020-02-09,42
2020-02-16,55
2020-02-23,55
2020-03-01,58
2020-03-08,84
2020-03-15,100
2020-03-22,74
2020-03-29,66
2020-04-05,54
2020-04-12,54
2020-04-19,50
2020-04-26,46
2020-05-03,43
2020-05-10,39
2020-05-17,37
2020-05-24,35
2020-05-31,40
2020-06-07,36
2020-06-14,36
2020-06-21,37
2020-06-28,35
2020-07-05,31
2020-07-12,24
2020-07-19,20
2020-07-26,19
2020-08-02,17
2020-08-09,14
2020-08-16,17
2020-08-23,12
2020-08-30,14
2020-09-06,13
2020-09-13,15
2020-09-20,17
2020-09-27,17
2020-10-04,17
2020-10-11,11
2020-10-18,12
2020-10-25,14
2020-11-01,13
2020-11-08,15
2020-11-15,13
2020-11-22,18
2020-11-29,22
2020-12-06,20
2020-12-13,22
2020-12-20,17
2020-12-27,20
2021-01-03,77
2021-01-10,65
2021-01-17,58
2021-01-24,56
2021-01-31,62
2021-02-07,54
2021-02-14,64
2021-02-21,68
2021-02-28,87
2021-03-07,91
2021-03-14,100
2021-03-21,97
2021-03-28,91
2021-04-04,78
2021-04-11,82
2021-04-18,64
2021-04-25,69
2021-05-02,52
2021-05-09,55
2021-05-16,58
2021-05-23,64
2021-05-30,56
2021-06-06,51
2021-06-13,40
2021-06-20,42
2021-06-27,40
2021-07-04,30
2021-07-11,28
2021-07-18,24
2021-07-25,23
2021-08-01,15
2021-08-08,27
2021-08-15,27
2021-08-22,30
2021-08-29,27
2021-09-05,36
2021-09-12,34
2021-09-19,30
2021-09-26,34
2021-10-03,32
2021-10-10,20
2021-10-17,24
2021-10-24,31
2021-10-31,28
2021-11-07,38
2021-11-14,38
2021-11-21,40
2021-11-28,39
2021-12-05,40
2021-12-12,40
2021-12-19,36
2021-12-26,39
2022-01-02,39
2022-01-09,39
2022-01-16,40
2022-01-23,31
2022-01-30,24
2022-02-06,22
2022-02-13,29
2022-02-20,31
2022-02-27,32
2022-03-06,37
2022-03-13,45
2022-03-20,47
2022-03-27,61
2022-04-03,63
2022-04-10,64
2022-04-17,76
2022-04-24,84
2022-05-01,94
2022-05-08,100
2022-05-15,77
2022-05-22,70
2022-05-29,68
2022-06-05,54
2022-06-12,47
2022-06-19,44
2022-06-26,36
2022-07-03,32
2022-07-10,23
2022-07-17,20
2022-07-24,20
2022-07-31,19
2022-08-07,20
2022-08-14,19
2022-08-21,18
2022-08-28,18
2022-09-04,19
2022-09-11,23
2022-09-18,20
2022-09-25,20
2022-10-02,17
2022-10-09,19
2022-10-16,26
2022-10-23,27
2022-10-30,20
2022-11-06,24
2022-11-13,24
2022-11-20,25
2022-11-27,28
2022-12-04,28
2022-12-11,32
2022-12-18,32
2022-12-25,42
