Week,buscas
2010-01-03,0
2010-01-10,0
2010-01-17,71
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,16
2010-04-11,0
2010-04-18,78
2010-04-25,16
2010-05-02,0
2010-05-09,24
2010-05-16,0
2010-05-23,15
2010-05-30,34
2010-06-06,0
2010-06-13,20
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,37
2010-08-15,0
2010-08-22,30
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,27
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,17
2010-12-05,25
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,28
2011-01-09,52
2011-01-16,0
2011-01-23,27
2011-01-30,0
2011-02-06,32
2011-02-13,25
2011-02-20,24
2011-02-27,37
2011-03-06,15
2011-03-13,43
2011-03-20,54
2011-03-27,100
2011-04-03,93
2011-04-10,63
2011-04-17,51
2011-04-24,33
2011-05-01,88
2011-05-08,62
2011-05-15,40
2011-05-22,0
2011-05-29,9
2011-06-05,30
2011-06-12,0
2011-06-19,17
2011-06-26,36
2011-07-03,23
2011-07-10,26
2011-07-17,42
2011-07-24,42
2011-07-31,36
2011-08-07,18
2011-08-14,31
2011-08-21,28
2011-08-28,19
2011-09-04,0
2011-09-11,42
2011-09-18,36
2011-09-25,21
2011-10-02,14
2011-10-09,12
2011-10-16,13
2011-10-23,28
2011-10-30,8
2011-11-06,0
2011-11-13,18
2011-11-20,20
2011-11-27,20
2011-12-04,32
2011-12-11,16
2011-12-18,0
2011-12-25,8
2012-01-01,53
2012-01-08,21
2012-01-15,37
2012-01-22,35
2012-01-29,28
2012-02-05,33
2012-02-12,0
2012-02-19,56
2012-02-26,59
2012-03-04,47
2012-03-11,43
2012-03-18,72
2012-03-25,39
2012-04-01,47
2012-04-08,72
2012-04-15,93
2012-04-22,98
2012-04-29,71
2012-05-06,90
2012-05-13,61
2012-05-20,28
2012-05-27,100
2012-06-03,52
2012-06-10,62
2012-06-17,64
2012-06-24,23
2012-07-01,94
2012-07-08,55
2012-07-15,49
2012-07-22,39
2012-07-29,40
2012-08-05,45
2012-08-12,40
2012-08-19,17
2012-08-26,8
2012-09-02,30
2012-09-09,35
2012-09-16,40
2012-09-23,33
2012-09-30,44
2012-10-07,24
2012-10-14,26
2012-10-21,32
2012-10-28,22
2012-11-04,9
2012-11-11,24
2012-11-18,9
2012-11-25,20
2012-12-02,39
2012-12-09,26
2012-12-16,0
2012-12-23,35
2012-12-30,28
2013-01-06,19
2013-01-13,0
2013-01-20,20
2013-01-27,9
2013-02-03,23
2013-02-10,40
2013-02-17,14
2013-02-24,43
2013-03-03,30
2013-03-10,31
2013-03-17,36
2013-03-24,45
2013-03-31,76
2013-04-07,74
2013-04-14,33
2013-04-21,41
2013-04-28,51
2013-05-05,100
2013-05-12,83
2013-05-19,68
2013-05-26,49
2013-06-02,64
2013-06-09,74
2013-06-16,53
2013-06-23,43
2013-06-30,62
2013-07-07,0
2013-07-14,30
2013-07-21,38
2013-07-28,17
2013-08-04,31
2013-08-11,60
2013-08-18,27
2013-08-25,22
2013-09-01,18
2013-09-08,0
2013-09-15,9
2013-09-22,0
2013-09-29,8
2013-10-06,17
2013-10-13,0
2013-10-20,13
2013-10-27,0
2013-11-03,26
2013-11-10,19
2013-11-17,26
2013-11-24,25
2013-12-01,11
2013-12-08,29
2013-12-15,10
2013-12-22,10
2013-12-29,0
2014-01-05,0
2014-01-12,22
2014-01-19,18
2014-01-26,15
2014-02-02,24
2014-02-09,30
2014-02-16,34
2014-02-23,19
2014-03-02,12
2014-03-09,33
2014-03-16,25
2014-03-23,30
2014-03-30,35
2014-04-06,43
2014-04-13,42
2014-04-20,31
2014-04-27,22
2014-05-04,61
2014-05-11,100
2014-05-18,69
2014-05-25,76
2014-06-01,48
2014-06-08,41
2014-06-15,53
2014-06-22,40
2014-06-29,58
2014-07-06,48
2014-07-13,48
2014-07-20,67
2014-07-27,80
2014-08-03,86
2014-08-10,48
2014-08-17,43
2014-08-24,31
2014-08-31,33
2014-09-07,0
2014-09-14,30
2014-09-21,54
2014-09-28,28
2014-10-05,13
2014-10-12,31
2014-10-19,51
2014-10-26,43
2014-11-02,46
2014-11-09,16
2014-11-16,21
2014-11-23,33
2014-11-30,40
2014-12-07,18
2014-12-14,35
2014-12-21,9
2014-12-28,15
2015-01-04,11
2015-01-11,5
2015-01-18,0
2015-01-25,4
2015-02-01,15
2015-02-08,14
2015-02-15,13
2015-02-22,15
2015-03-01,13
2015-03-08,17
2015-03-15,26
2015-03-22,24
2015-03-29,35
2015-04-05,25
2015-04-12,36
2015-04-19,35
2015-04-26,32
2015-05-03,39
2015-05-10,31
2015-05-17,40
2015-05-24,41
2015-05-31,53
2015-06-07,42
2015-06-14,29
2015-06-21,43
2015-06-28,31
2015-07-05,39
2015-07-12,26
2015-07-19,30
2015-07-26,24
2015-08-02,19
2015-08-09,27
2015-08-16,19
2015-08-23,16
2015-08-30,12
2015-09-06,18
2015-09-13,12
2015-09-20,14
2015-09-27,8
2015-10-04,17
2015-10-11,11
2015-10-18,22
2015-10-25,10
2015-11-01,16
2015-11-08,14
2015-11-15,13
2015-11-22,25
2015-11-29,40
2015-12-06,46
2015-12-13,45
2015-12-20,19
2015-12-27,17
2016-01-03,19
2016-01-10,31
2016-01-17,20
2016-01-24,28
2016-01-31,38
2016-02-07,34
2016-02-14,66
2016-02-21,81
2016-02-28,95
2016-03-06,90
2016-03-13,60
2016-03-20,55
2016-03-27,71
2016-04-03,100
2016-04-10,71
2016-04-17,58
2016-04-24,53
2016-05-01,31
2016-05-08,35
2016-05-15,46
2016-05-22,44
2016-05-29,43
2016-06-05,25
2016-06-12,18
2016-06-19,13
2016-06-26,16
2016-07-03,21
2016-07-10,22
2016-07-17,19
2016-07-24,13
2016-07-31,11
2016-08-07,9
2016-08-14,13
2016-08-21,9
2016-08-28,9
2016-09-04,13
2016-09-11,6
2016-09-18,3
2016-09-25,10
2016-10-02,9
2016-10-09,4
2016-10-16,7
2016-10-23,7
2016-10-30,4
2016-11-06,9
2016-11-13,13
2016-11-20,11
2016-11-27,18
2016-12-04,3
2016-12-11,4
2016-12-18,0
2016-12-25,4
2017-01-01,6
2017-01-08,29
2017-01-15,0
2017-01-22,8
2017-01-29,13
2017-02-05,15
2017-02-12,28
2017-02-19,33
2017-02-26,26
2017-03-05,38
2017-03-12,29
2017-03-19,38
2017-03-26,39
2017-04-02,100
2017-04-09,49
2017-04-16,47
2017-04-23,45
2017-04-30,29
2017-05-07,32
2017-05-14,19
2017-05-21,47
2017-05-28,17
2017-06-04,22
2017-06-11,15
2017-06-18,18
2017-06-25,30
2017-07-02,14
2017-07-09,18
2017-07-16,12
