Week,buscas
2010-01-03,32
2010-01-10,0
2010-01-17,0
2010-01-24,28
2010-01-31,0
2010-02-07,52
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,40
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,93
2010-05-09,0
2010-05-16,0
2010-05-23,35
2010-05-30,0
2010-06-06,0
2010-06-13,29
2010-06-20,0
2010-06-27,53
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,100
2010-09-19,0
2010-09-26,51
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,58
2010-10-31,0
2010-11-07,37
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,65
2010-12-12,44
2010-12-19,55
2010-12-26,0
2011-01-02,13
2011-01-09,0
2011-01-16,15
2011-01-23,45
2011-01-30,27
2011-02-06,38
2011-02-13,39
2011-02-20,52
2011-02-27,43
2011-03-06,51
2011-03-13,100
2011-03-20,68
2011-03-27,95
2011-04-03,92
2011-04-10,80
2011-04-17,70
2011-04-24,79
2011-05-01,28
2011-05-08,40
2011-05-15,29
2011-05-22,53
2011-05-29,62
2011-06-05,41
2011-06-12,34
2011-06-19,9
2011-06-26,23
2011-07-03,23
2011-07-10,44
2011-07-17,43
2011-07-24,45
2011-07-31,19
2011-08-07,27
2011-08-14,52
2011-08-21,24
2011-08-28,28
2011-09-04,19
2011-09-11,22
2011-09-18,25
2011-09-25,8
2011-10-02,7
2011-10-09,12
2011-10-16,44
2011-10-23,19
2011-10-30,20
2011-11-06,10
2011-11-13,13
2011-11-20,29
2011-11-27,17
2011-12-04,28
2011-12-11,0
2011-12-18,11
2011-12-25,14
2012-01-01,33
2012-01-08,34
2012-01-15,44
2012-01-22,0
2012-01-29,29
2012-02-05,46
2012-02-12,30
2012-02-19,59
2012-02-26,36
2012-03-04,72
2012-03-11,43
2012-03-18,44
2012-03-25,52
2012-04-01,69
2012-04-08,83
2012-04-15,78
2012-04-22,100
2012-04-29,86
2012-05-06,73
2012-05-13,78
2012-05-20,83
2012-05-27,87
2012-06-03,74
2012-06-10,96
2012-06-17,38
2012-06-24,43
2012-07-01,63
2012-07-08,75
2012-07-15,43
2012-07-22,85
2012-07-29,54
