semana,casos,obitos
201001,9,0
201002,20,0
201003,21,0
201004,23,0
201005,18,0
201006,14,0
201007,11,0
201008,33,1
201009,39,1
201010,28,0
201011,25,1
201012,30,0
201013,19,0
201014,24,0
201015,19,0
201016,13,0
201017,21,0
201018,18,2
201019,17,0
201020,23,0
201021,15,0
201022,5,0
201023,12,0
201024,8,0
201025,11,1
201026,6,0
201027,8,1
201028,7,0
201029,1,0
201030,4,0
201031,10,0
201032,3,1
201033,5,1
201034,7,0
201035,4,1
201036,3,0
201037,6,0
201038,3,0
201039,2,0
201040,5,0
201041,6,0
201042,6,0
201043,5,0
201044,4,0
201045,4,0
201046,8,1
201047,8,0
201048,12,1
201049,13,0
201050,8,1
201051,14,0
201052,13,0
201101,18,0
201102,20,0
201103,19,0
201104,21,0
201105,24,0
201106,31,0
201107,28,1
201108,23,1
201109,23,0
201110,19,0
201111,29,0
201112,24,0
201113,19,0
201114,35,0
201115,23,1
201116,19,0
201117,19,1
201118,24,1
201119,21,0
201120,15,0
201121,12,0
201122,12,0
201123,6,0
201124,3,0
201125,15,0
201126,8,0
201127,9,0
201128,8,0
201129,7,0
201130,10,0
201131,5,0
201132,20,0
201133,5,0
201134,5,0
201135,10,0
201136,4,1
201137,8,0
201138,7,0
201139,12,1
201140,10,0
201141,12,0
201142,9,1
201143,8,0
201144,11,0
201145,5,0
201146,3,0
201147,14,0
201148,10,0
201149,13,0
201150,11,0
201151,9,0
201152,11,0
201201,15,0
201202,31,0
201203,20,0
201204,9,0
201205,13,0
201206,16,0
201207,15,1
201208,10,0
201209,14,1
201210,14,0
201211,15,0
201212,11,0
201213,11,0
201214,9,0
201215,14,0
201216,15,0
201217,8,0
201218,9,0
201219,13,0
201220,8,1
201221,4,0
201222,10,1
201223,4,0
201224,4,0
201225,2,1
201226,6,0
201227,8,1
201228,7,0
201229,6,0
201230,6,0
201231,6,0
201232,5,0
201233,6,0
201234,0,0
201235,2,0
201236,6,0
201237,3,0
201238,5,1
201239,5,0
201240,1,0
201241,3,0
201242,2,0
201243,7,0
201244,3,0
201245,8,0
201246,2,0
201247,6,0
201248,4,1
201249,7,0
201250,4,0
201251,9,0
201252,8,0
201301,6,0
201302,29,0
201303,37,1
201304,39,0
201305,41,0
201306,33,0
201307,30,0
201308,40,0
201309,67,1
201310,32,0
201311,35,0
201312,35,0
201313,33,0
201314,46,0
201315,54,0
201316,70,1
201317,66,1
201318,63,0
201319,30,0
201320,41,0
201321,36,0
201322,21,0
201323,17,1
201324,25,1
201325,29,0
201326,15,0
201327,11,1
201328,7,0
201329,6,0
201330,6,2
201331,6,1
201332,9,0
201333,3,0
201334,4,0
201335,9,1
201336,7,0
201337,6,0
201338,6,0
201339,5,0
201340,5,0
201341,8,0
201342,11,0
201343,9,0
201344,6,0
201345,6,0
201346,9,0
201347,20,0
201348,10,0
201349,14,0
201350,5,0
201351,13,0
201352,14,0
201401,9,0
201402,14,0
201403,13,1
201404,17,0
201405,21,0
201406,15,1
201407,19,0
201408,14,0
201409,14,0
201410,9,0
201411,9,0
201412,16,0
201413,15,0
201414,28,0
201415,29,0
201416,19,0
201417,25,0
201418,16,0
201419,32,0
201420,17,0
201421,14,0
201422,19,0
201423,10,0
201424,10,1
201425,6,0
201426,8,0
201427,9,0
201428,8,1
201429,15,0
201430,7,0
201431,9,0
201432,12,1
201433,16,0
201434,12,1
201435,9,0
201436,4,0
201437,9,0
201438,5,0
201439,14,0
201440,9,0
201441,14,0
201442,11,0
201443,13,1
201444,6,0
201445,8,0
201446,11,0
201447,12,0
201448,13,0
201449,8,0
201450,12,1
201451,8,0
201452,3,0
201453,15,0
201501,26,0
201502,42,1
201503,65,1
201504,127,0
201505,430,0
201506,560,1
201507,441,0
201508,451,0
201509,516,0
201510,611,0
201511,694,1
201512,723,0
201513,586,0
201514,671,0
201515,755,1
201516,530,1
201517,473,1
201518,433,1
201519,330,1
201520,332,0
201521,267,0
201522,171,1
201523,199,0
201524,84,0
201525,102,1
201526,101,0
201527,48,0
201528,71,0
201529,49,0
201530,59,2
201531,48,0
201532,51,0
201533,35,0
201534,32,0
201535,29,0
201536,50,0
201537,59,0
201538,66,0
201539,56,0
201540,41,0
201541,39,1
201542,46,1
201543,54,0
201544,53,1
201545,78,0
201546,67,0
201547,105,0
201548,106,0
201549,165,1
201550,165,0
201551,109,0
201552,127,0
201601,286,0
201602,314,0
201603,314,0
201604,331,1
201605,428,0
201606,489,0
201607,884,0
201608,910,0
201609,1115,0
201610,1078,1
201611,1161,0
201612,850,0
201613,1115,0
201614,916,1
201615,720,1
201616,624,2
201617,519,0
201618,378,1
201619,239,0
201620,139,0
201621,71,0
201622,68,0
201623,30,0
201624,18,0
201625,28,1
201626,40,0
201627,36,0
201628,30,1
201629,26,0
201630,26,0
201631,40,0
201632,42,0
201633,27,0
201634,22,0
201635,34,0
201636,29,0
201637,42,0
201638,39,0
201639,39,0
201640,30,0
201641,26,0
201642,45,0
201643,53,0
201644,45,1
201645,71,0
201646,62,0
201647,70,0
201648,75,0
201649,87,0
201650,82,0
201651,89,0
201652,75,0
201701,121,1
201702,134,0
201703,158,0
201704,117,0
201705,96,0
201706,105,0
201707,86,2
201708,114,0
201709,69,0
201710,79,0
201711,82,0
201712,57,0
201713,78,0
201714,89,0
201715,48,0
201716,60,0
201717,57,0
201718,47,0
201719,39,0
201720,30,0
201721,47,0
201722,48,1
201723,29,0
201724,8,0
201725,24,0
201726,24,0
201727,25,0
201728,17,0
201729,14,0
201730,25,1
201731,21,0
201732,27,0
201733,26,0
201734,22,1
201735,30,0
201736,15,0
201737,33,0
201738,29,0
201739,38,0
201740,21,0
201741,23,0
201742,29,0
201743,30,0
201744,41,0
201745,38,0
201746,23,0
201747,34,0
201748,41,0
201749,47,0
201750,39,0
201751,47,1
201752,28,0
201801,33,0
201802,55,0
201803,63,0
201804,79,1
201805,84,0
201806,70,0
201807,49,0
201808,41,0
201809,54,0
201810,45,0
201811,35,0
201812,37,0
201813,36,0
201814,41,0
201815,71,0
201816,57,0
201817,74,0
201818,60,0
201819,53,0
201820,48,0
201821,39,0
201822,23,0
201823,24,0
201824,23,0
201825,15,0
201826,28,0
201827,16,0
201828,8,0
201829,19,0
201830,16,0
201831,15,0
201832,11,0
201833,11,0
201834,14,0
201835,11,0
201836,14,0
201837,16,0
201838,11,0
201839,23,0
201840,21,0
201841,14,0
201842,17,0
201843,23,0
201844,23,0
201845,38,0
201846,38,0
201847,46,0
201848,34,0
201849,38,0
201850,52,0
201851,42,0
201852,31,0
201901,30,0
201902,62,0
201903,51,0
201904,61,0
201905,81,0
201906,82,0
201907,106,0
201908,109,0
201909,110,0
201910,125,0
201911,144,0
201912,233,0
201913,294,0
201914,345,0
201915,309,0
201916,329,0
201917,411,0
201918,356,0
201919,445,0
201920,408,0
201921,400,0
201922,415,0
201923,308,0
201924,295,0
201925,217,0
201926,200,1
201927,135,0
201928,75,0
201929,66,0
201930,82,0
201931,59,0
201932,51,0
201933,62,0
201934,61,0
201935,48,0
201936,36,0
201937,45,0
201938,57,0
201939,50,0
201940,55,0
201941,50,0
201942,50,0
201943,60,0
201944,54,0
201945,50,1
201946,57,0
201947,76,0
201948,51,0
201949,61,0
201950,58,0
201951,63,0
201952,53,0
202001,82,0
202002,85,0
202003,103,0
202004,98,0
202005,106,1
202006,146,0
202007,236,0
202008,274,0
202009,289,0
202010,484,1
202011,548,0
202012,498,0
202013,682,0
202014,841,0
202015,1168,1
202016,1386,1
202017,1559,0
202018,1607,0
202019,1753,0
202020,1526,0
202021,1446,0
202022,1145,0
202023,882,0
202024,800,2
202025,936,0
202026,736,0
202027,453,0
202028,427,0
202029,335,1
202030,289,0
202031,151,0
202032,123,0
202033,121,0
202034,84,0
202035,96,0
202036,79,0
202037,90,0
202038,77,0
202039,76,0
202040,73,0
202041,58,0
202042,95,0
202043,88,1
202044,80,0
202045,101,0
202046,98,0
202047,128,0
202048,132,0
202049,143,0
202050,107,0
202051,83,0
202052,52,0
202053,26,0
202101,47,0
202102,146,0
202103,149,0
202104,172,0
202105,189,0
202106,258,0
202107,249,0
202108,281,0
202109,369,0
202110,406,0
202111,730,0
202112,1054,0
202113,1317,0
202114,1821,0
202115,1802,1
202116,2392,1
202117,2748,3
202118,2828,0
202119,2669,1
202120,2462,1
202121,2044,1
202122,1481,1
202123,1601,0
202124,901,0
202125,792,0
202126,497,0
202127,509,0
202128,399,0
202129,294,1
202130,300,1
202131,284,0
202132,268,1
202133,214,0
202134,209,0
202135,208,1
202136,137,0
202137,133,0
202138,133,0
202139,180,0
202140,181,0
202141,117,0
202142,127,1
202143,170,0
202144,163,0
202145,170,0
202146,169,0
202147,192,0
202148,209,1
202149,227,0
202150,282,1
202151,268,1
202152,217,0
202201,153,0
202202,254,0
202203,271,0
202204,232,1
202205,199,0
202206,259,0
202207,467,0
202208,784,0
202209,1342,0
202210,3231,2
202211,5037,7
202212,6692,11
202213,8806,8
202214,10128,8
202215,8972,1
202216,11536,7
202217,11702,9
202218,10264,10
202219,10073,17
202220,8838,6
202221,8192,7
202222,5094,2
202223,4181,4
202224,2352,1
202225,2559,4
202226,2214,1
202227,1790,1
202228,1410,1
202229,1041,0
202230,789,0
202231,751,0
202232,501,1
202233,500,0
202234,449,0
202235,338,0
202236,349,0
202237,295,0
202238,397,0
202239,316,0
202240,264,0
202241,259,0
202242,379,0
202243,495,1
202244,316,0
202245,381,0
202246,419,1
202247,476,2
202248,374,0
202249,550,1
202250,501,0
202251,320,1
202252,352,0
