semana,casos,obitos
201001,40,0
201002,49,1
201003,40,0
201004,64,0
201005,60,0
201006,132,0
201007,94,1
201008,135,0
201009,171,0
201010,179,0
201011,167,0
201012,215,0
201013,191,0
201014,202,3
201015,165,0
201016,232,0
201017,282,0
201018,278,0
201019,260,0
201020,245,0
201021,285,0
201022,234,0
201023,275,0
201024,205,2
201025,222,0
201026,248,1
201027,262,0
201028,198,0
201029,204,0
201030,159,0
201031,166,0
201032,152,1
201033,131,0
201034,123,0
201035,105,0
201036,91,1
201037,124,0
201038,104,0
201039,87,0
201040,60,0
201041,48,0
201042,46,0
201043,35,0
201044,49,0
201045,55,0
201046,48,0
201047,50,0
201048,60,0
201049,60,0
201050,67,0
201051,89,0
201052,39,0
201101,108,0
201102,157,0
201103,205,0
201104,170,0
201105,279,0
201106,274,0
201107,269,0
201108,238,0
201109,240,0
201110,182,1
201111,358,2
201112,475,0
201113,506,0
201114,524,0
201115,545,0
201116,348,0
201117,465,0
201118,414,0
201119,446,1
201120,528,0
201121,389,0
201122,379,0
201123,376,0
201124,359,0
201125,264,0
201126,223,0
201127,215,0
201128,202,0
201129,156,0
201130,124,0
201131,110,0
201132,120,0
201133,108,0
201134,109,0
201135,96,0
201136,96,0
201137,75,0
201138,76,0
201139,47,0
201140,47,0
201141,51,0
201142,49,0
201143,38,0
201144,63,0
201145,86,0
201146,79,0
201147,76,1
201148,102,0
201149,98,0
201150,103,1
201151,83,0
201152,71,0
201201,110,0
201202,151,0
201203,155,0
201204,159,1
201205,159,0
201206,203,0
201207,211,0
201208,113,1
201209,215,0
201210,205,0
201211,311,0
201212,329,0
201213,414,0
201214,253,1
201215,495,1
201216,769,1
201217,781,0
201218,756,0
201219,1002,0
201220,820,0
201221,765,0
201222,762,1
201223,402,0
201224,428,0
201225,352,0
201226,293,1
201227,215,1
201228,185,0
201229,174,0
201230,188,0
201231,143,0
201232,112,0
201233,111,0
201234,112,0
201235,67,0
201236,58,0
201237,54,0
201238,41,0
201239,33,0
201240,29,1
201241,28,0
201242,28,0
201243,23,0
201244,28,0
201245,35,0
201246,34,0
201247,28,0
201248,30,0
201249,25,0
201250,33,0
201251,23,0
201252,16,0
201301,15,0
201302,42,0
201303,49,0
201304,72,0
201305,107,0
201306,86,0
201307,60,1
201308,142,0
201309,171,2
201310,203,0
201311,156,0
201312,206,0
201313,144,0
201314,164,0
201315,223,0
201316,206,0
201317,210,0
201318,125,0
201319,128,0
201320,207,1
201321,193,0
201322,174,0
201323,179,0
201324,211,0
201325,154,0
201326,137,0
201327,134,2
201328,127,0
201329,162,0
201330,72,0
201331,98,0
201332,81,0
201333,43,0
201334,59,0
201335,43,0
201336,48,0
201337,39,0
201338,48,0
201339,42,0
201340,36,0
201341,26,0
201342,25,0
201343,21,0
201344,16,0
201345,10,0
201346,21,0
201347,15,0
201348,30,1
201349,47,0
201350,26,0
201351,30,0
201352,6,0
201401,9,0
201402,57,0
201403,42,0
201404,47,0
201405,96,0
201406,47,0
201407,80,0
201408,96,0
201409,92,0
201410,57,0
201411,82,0
201412,100,0
201413,81,0
201414,155,0
201415,211,0
201416,152,0
201417,166,1
201418,276,0
201419,337,0
201420,380,0
201421,608,2
201422,521,0
201423,430,1
201424,363,0
201425,376,0
201426,298,0
201427,299,1
201428,296,1
201429,277,0
201430,280,0
201431,178,0
201432,121,0
201433,123,0
201434,101,0
201435,94,0
201436,78,0
201437,50,0
201438,78,0
201439,72,0
201440,45,0
201441,47,0
201442,32,0
201443,35,0
201444,36,0
201445,52,0
201446,43,0
201447,47,0
201448,35,0
201449,34,0
201450,35,0
201451,16,0
201452,27,0
201453,16,0
201501,51,0
201502,41,0
201503,50,0
201504,41,0
201505,75,0
201506,85,0
201507,68,0
201508,130,0
201509,207,0
201510,260,0
201511,356,1
201512,562,0
201513,467,0
201514,598,0
201515,654,0
201516,489,0
201517,481,0
201518,416,0
201519,447,1
201520,431,2
201521,297,0
201522,166,0
201523,218,0
201524,149,1
201525,108,0
