semana,casos,obitos
201001,75,0
201002,110,0
201003,130,0
201004,206,0
201005,322,2
201006,523,1
201007,771,0
201008,1234,1
201009,1650,0
201010,1931,1
201011,2383,0
201012,2908,2
201013,2972,0
201014,3556,3
201015,3375,0
201016,2796,2
201017,3062,0
201018,3072,2
201019,2169,1
201020,1232,0
201021,571,1
201022,264,1
201023,271,0
201024,242,0
201025,170,2
201026,139,0
201027,133,0
201028,57,0
201029,47,0
201030,34,0
201031,21,0
201032,31,0
201033,23,0
201034,24,0
201035,34,0
201036,36,0
201037,39,0
201038,40,0
201039,38,0
201040,33,0
201041,24,0
201042,35,0
201043,68,0
201044,59,0
201045,64,0
201046,67,0
201047,66,0
201048,104,0
201049,201,0
201050,341,0
201051,284,0
201052,307,0
201101,298,0
201102,355,0
201103,435,1
201104,714,1
201105,988,1
201106,1311,2
201107,1684,3
201108,1970,4
201109,2130,3
201110,1994,2
201111,2659,1
201112,2856,1
201113,2534,1
201114,2128,1
201115,1705,0
201116,1131,1
201117,1334,0
201118,1044,0
201119,854,0
201120,507,0
201121,401,0
201122,204,0
201123,138,0
201124,65,0
201125,56,0
201126,37,0
201127,13,0
201128,16,0
201129,19,0
201130,23,0
201131,8,0
201132,10,0
201133,14,0
201134,11,0
201135,20,1
201136,14,0
201137,15,0
201138,9,0
201139,25,0
201140,20,0
201141,12,0
201142,29,0
201143,36,0
201144,27,0
201145,38,0
201146,38,0
201147,45,0
201148,50,0
201149,61,0
201150,45,0
201151,40,0
201152,41,0
201201,34,0
201202,25,0
201203,25,0
201204,29,0
201205,51,2
201206,64,0
201207,84,0
201208,86,0
201209,134,0
201210,170,0
201211,197,0
201212,203,0
201213,216,0
201214,234,0
201215,232,0
201216,231,0
201217,243,0
201218,172,0
201219,153,1
201220,154,0
201221,165,0
201222,122,0
201223,53,0
201224,58,0
201225,32,0
201226,29,0
201227,20,0
201228,22,0
201229,14,0
201230,13,0
201231,12,0
201232,14,0
201233,17,0
201234,12,0
201235,9,0
201236,13,0
201237,17,0
201238,7,0
201239,6,0
201240,16,0
201241,11,0
201242,16,0
201243,18,0
201244,18,0
201245,25,0
201246,25,0
201247,49,0
201248,73,0
201249,85,0
201250,217,0
201251,318,0
201252,268,0
201301,444,0
201302,706,0
201303,1163,2
201304,1426,1
201305,1819,1
201306,2508,1
201307,2577,5
201308,3415,6
201309,3943,4
201310,4241,1
201311,5075,8
201312,5456,4
201313,4497,3
201314,5067,1
201315,4895,4
201316,4563,6
201317,3764,0
201318,2448,1
201319,1959,3
201320,1888,0
201321,1237,1
201322,701,1
201323,597,0
201324,499,0
201325,290,0
201326,156,0
201327,94,0
201328,93,0
201329,65,0
201330,24,0
201331,31,0
201332,23,0
201333,22,0
201334,27,0
201335,21,0
201336,18,0
201337,28,0
201338,18,0
201339,23,0
201340,21,1
201341,24,0
201342,34,0
201343,42,0
201344,38,0
201345,65,0
201346,62,0
201347,97,0
201348,76,0
201349,98,0
201350,108,0
201351,148,0
201352,158,1
201401,162,1
201402,281,0
201403,307,0
201404,338,0
201405,451,1
201406,551,0
201407,634,1
201408,825,1
201409,836,1
201410,717,0
201411,940,1
201412,1122,0
201413,1372,0
201414,1279,1
201415,1516,4
201416,1487,4
201417,1521,3
201418,1222,3
201419,1416,0
201420,1107,2
201421,1030,0
201422,689,1
201423,355,0
201424,231,1
201425,162,1
201426,190,0
201427,144,0
201428,105,1
201429,119,0
201430,147,0
201431,58,1
201432,58,0
201433,156,0
201434,89,0
201435,50,1
201436,75,0
201437,62,0
201438,30,0
201439,45,0
201440,61,0
201441,73,0
201442,69,0
201443,75,0
201444,65,1
201445,75,0
201446,60,0
201447,82,0
201448,87,0
201449,60,0
201450,86,0
201451,85,0
201452,52,0
201453,71,1
201501,156,0
201502,228,0
201503,374,0
201504,488,0
201505,679,0
201506,724,1
201507,723,1
201508,1030,0
201509,1569,4
201510,2077,3
201511,2785,0
201512,3235,5
201513,3174,1
201514,4108,2
201515,4519,3
201516,3165,4
201517,2854,4
201518,2903,0
201519,1679,0
201520,1248,0
201521,1063,1
201522,832,0
201523,724,0
201524,518,1
201525,390,0
201526,234,0
201527,136,0
201528,94,0
201529,116,1
201530,147,1
201531,82,0
201532,111,0
201533,106,0
201534,65,0
201535,58,0
201536,46,0
201537,50,0
201538,68,0
201539,69,0
201540,77,0
201541,66,0
201542,75,0
201543,67,0
201544,108,0
201545,132,0
201546,188,0
201547,228,0
201548,312,0
201549,394,0
201550,586,1
201551,493,0
201552,732,1
201601,1187,3
201602,1646,3
201603,2533,9
201604,2949,5
201605,3122,4
201606,3538,10
201607,4246,10
201608,4423,3
201609,4551,2
201610,4487,5
201611,4012,6
201612,3940,7
201613,4577,6
201614,4016,5
201615,3857,5
201616,3246,2
201617,2234,5
201618,1311,2
201619,640,0
201620,465,2
201621,242,0
201622,212,0
201623,93,0
201624,90,0
201625,79,0
201626,85,1
201627,61,0
201628,56,0
201629,33,0
201630,40,0
201631,34,0
201632,36,0
201633,22,0
201634,28,0
201635,29,0
201636,17,0
201637,29,0
201638,42,0
201639,42,0
201640,44,0
201641,50,0
201642,67,0
201643,63,0
201644,75,0
201645,72,0
201646,61,0
201647,104,0
201648,87,0
201649,87,1
201650,86,0
201651,69,0
201652,60,0
201701,65,0
201702,79,0
201703,96,0
201704,96,0
201705,80,0
201706,86,0
201707,79,0
201708,89,0
201709,54,0
201710,50,0
201711,72,0
201712,49,0
201713,50,0
201714,37,0
201715,42,0
201716,40,1
201717,31,0
201718,20,0
201719,48,0
201720,26,0
201721,33,0
201722,22,0
201723,26,0
201724,17,0
201725,22,0
201726,12,0
201727,18,0
201728,18,0
201729,10,0
201730,11,0
201731,10,0
201732,27,0
201733,13,0
201734,22,0
201735,28,0
201736,30,0
201737,40,0
201738,43,1
201739,63,0
201740,45,0
201741,30,0
201742,56,0
201743,30,0
201744,35,0
201745,32,0
201746,51,0
201747,48,0
201748,44,0
201749,75,0
201750,54,0
201751,40,0
201752,33,0
201801,29,0
201802,34,0
201803,40,0
201804,34,0
201805,51,0
201806,59,0
201807,30,0
201808,41,0
201809,22,0
201810,30,0
201811,29,0
201812,29,1
201813,32,0
201814,62,0
201815,63,1
201816,59,1
201817,57,0
201818,49,0
201819,57,0
201820,56,0
201821,33,0
201822,13,0
201823,18,0
201824,13,0
201825,12,0
201826,21,0
201827,23,0
201828,20,0
201829,14,0
201830,7,0
201831,10,0
201832,6,0
201833,11,0
201834,7,0
201835,6,1
201836,9,0
201837,8,0
201838,9,0
201839,5,0
201840,22,0
201841,16,0
201842,20,0
201843,25,0
201844,26,0
201845,22,0
201846,11,0
201847,14,0
201848,21,0
201849,41,0
201850,37,0
201851,34,0
201852,27,0
201901,39,0
201902,63,0
201903,94,0
201904,111,0
201905,192,1
