semana,casos,obitos
201001,82,0
201002,78,1
201003,68,0
201004,69,0
201005,77,0
201006,116,0
201007,141,0
201008,145,0
201009,202,0
201010,226,0
201011,174,0
201012,246,1
201013,184,0
201014,204,0
201015,274,0
201016,262,0
201017,272,1
201018,256,0
201019,249,2
201020,399,1
201021,529,0
201022,647,1
201023,644,0
201024,581,0
201025,505,0
201026,467,0
201027,387,1
201028,329,0
201029,284,0
201030,247,0
201031,283,0
201032,354,0
201033,362,1
201034,271,0
201035,304,0
201036,212,1
201037,175,0
201038,173,1
201039,113,0
201040,120,1
201041,76,0
201042,118,0
201043,99,0
201044,57,0
201045,80,0
201046,83,0
201047,103,0
201048,108,0
201049,85,0
201050,108,0
201051,78,0
201052,83,0
201101,69,0
201102,93,0
201103,72,0
201104,91,0
201105,84,0
201106,70,0
201107,63,1
201108,78,0
201109,63,0
201110,31,0
201111,83,0
201112,108,0
201113,106,0
201114,82,0
201115,55,0
201116,38,0
201117,55,0
201118,44,0
201119,54,0
201120,37,0
201121,58,0
201122,46,0
201123,89,0
201124,68,0
201125,50,0
201126,65,0
201127,71,0
201128,78,0
201129,86,0
201130,58,0
201131,41,0
201132,60,0
201133,66,0
201134,57,0
201135,47,0
201136,47,0
201137,40,0
201138,37,0
201139,45,0
201140,34,0
201141,32,0
201142,40,0
201143,37,0
201144,26,0
201145,34,0
201146,33,0
201147,39,0
201148,49,0
201149,39,0
201150,62,0
201151,71,0
201152,60,0
201201,64,0
201202,54,0
201203,66,0
201204,65,0
201205,46,0
201206,56,0
201207,71,0
201208,77,0
201209,86,0
201210,108,0
201211,79,0
201212,173,0
201213,115,0
201214,77,0
201215,114,0
201216,112,0
201217,111,0
201218,76,1
201219,133,0
201220,142,0
201221,208,0
201222,140,0
201223,144,0
201224,107,0
201225,130,0
201226,128,0
201227,158,0
201228,132,0
201229,94,0
201230,97,0
201231,116,0
201232,139,0
201233,119,0
201234,117,0
201235,103,0
201236,65,0
201237,81,0
201238,67,0
201239,71,0
201240,47,0
201241,49,0
201242,41,0
201243,55,0
201244,44,0
201245,44,0
201246,36,0
201247,65,0
201248,32,0
201249,29,0
201250,47,0
201251,31,0
201252,20,0
201301,27,0
201302,19,0
201303,22,0
201304,33,0
201305,46,0
201306,36,0
201307,20,0
201308,36,0
201309,60,0
201310,36,0
201311,46,0
201312,49,0
201313,34,0
201314,52,0
201315,51,0
201316,48,0
201317,45,0
201318,38,0
201319,85,0
201320,125,0
201321,71,0
201322,38,0
201323,49,0
201324,53,0
201325,58,0
201326,65,0
201327,33,0
201328,51,0
201329,40,0
201330,33,0
201331,26,0
201332,44,0
201333,26,0
201334,37,0
201335,35,0
201336,72,0
201337,61,0
201338,63,0
201339,67,0
201340,41,0
201341,39,0
201342,38,0
201343,59,0
201344,47,0
201345,39,0
201346,23,0
201347,45,0
201348,40,0
201349,17,1
201350,8,0
201351,32,0
201352,18,0
201401,16,0
201402,48,0
201403,44,0
201404,37,0
201405,38,0
201406,36,0
201407,38,0
201408,35,0
201409,20,0
201410,17,0
201411,37,0
201412,28,0
201413,38,0
